mf, 52, 177
lw, 80, 187
xn, 44, 160
ab, 85, 167
bu, 91, 180
ff, 87, 192
kr, 54, 144
hv, 76, 176
rd, 81, 170
bj, 95, 189
uk, 43, 150
fn, 98, 145
uo, 57, 187
oc, 58, 191
xh, 96, 171
sc, 54, 188
kz, 93, 163
qq, 72, 147
ns, 86, 191
uj, 68, 178
rl, 74, 162
tg, 65, 189
dd, 68, 172
kp, 51, 176
of, 76, 149
lw, 92, 162
lj, 60, 188
ko, 46, 153
pk, 69, 187
ta, 54, 157
br, 87, 153
uf, 96, 178
xs, 69, 143
dp, 90, 178
wx, 42, 152
vx, 79, 173
gy, 74, 193
ux, 45, 158
fo, 95, 160
vj, 97, 198
rr, 68, 154
sm, 74, 192
bq, 40, 190
we, 57, 187
xa, 82, 191
wo, 92, 147
yv, 83, 190
kd, 92, 155
ec, 74, 144
rb, 88, 190
ge, 74, 193
ht, 86, 153
kg, 40, 186
os, 82, 199
uh, 64, 188
ln, 79, 171
ak, 50, 171
fs, 90, 193
hp, 83, 170
if, 99, 157
dj, 74, 154
dc, 75, 174
in, 72, 199
cb, 64, 183
mc, 94, 161
qj, 93, 172
jr, 92, 169
ss, 77, 141
cx, 70, 149
sp, 87, 178
aj, 93, 188
ub, 49, 196
jv, 45, 195
dq, 69, 197
mn, 72, 190
dm, 67, 144
fi, 86, 147
qq, 48, 178
nx, 47, 142
hz, 43, 144
at, 60, 158
hp, 51, 175
bm, 46, 179
ib, 56, 145
kz, 74, 189
sz, 91, 190
vp, 47, 179
pk, 78, 146
to, 49, 142
tn, 78, 159
ii, 74, 141
no, 57, 157
la, 93, 172
so, 59, 179
ig, 87, 187
ik, 40, 147
fe, 93, 143
hh, 91, 197
bz, 80, 160
ib, 54, 173
kp, 60, 176
ro, 52, 189
cx, 54, 192
xr, 84, 163
wm, 87, 143
zm, 51, 164
vc, 85, 162
rd, 56, 180
tx, 81, 148
qo, 95, 199
oe, 72, 170
if, 67, 150
nh, 95, 162
bi, 50, 193
kn, 75, 159
am, 78, 162
em, 94, 187
nu, 82, 167
gn, 86, 184
uo, 54, 189
cd, 59, 169
ag, 85, 163
kn, 88, 147
rq, 66, 186
zt, 64, 159
ey, 68, 170
ea, 50, 169
uf, 99, 189
ab, 63, 148
xm, 96, 186
bl, 90, 143
dt, 89, 160
zk, 83, 178
nb, 49, 142
mb, 93, 195
de, 60, 140
xy, 95, 191
ed, 74, 159
hq, 87, 152
tm, 54, 168
qn, 61, 147
ij, 82, 144
rn, 49, 162
ev, 79, 169
kn, 57, 190
wu, 61, 193
wo, 98, 177
rx, 64, 166
bz, 44, 170
op, 92, 154
lw, 79, 146
zl, 58, 141
nx, 43, 154
gn, 59, 159
yx, 42, 167
pv, 44, 153
qm, 85, 185
yf, 89, 155
fc, 59, 179
ad, 89, 197
wc, 95, 143
mb, 78, 154
zl, 69, 177
tn, 75, 159
qh, 40, 196
pd, 88, 188
vc, 64, 141
yo, 52, 150
ky, 73, 179
ks, 75, 146
mb, 51, 168
ez, 59, 166
lr, 64, 148
eq, 43, 193
gz, 58, 172
ai, 47, 179
xg, 48, 190
xf, 58, 172
nt, 67, 170
iw, 74, 183
ia, 52, 180
ux, 77, 160
dw, 99, 148
yo, 88, 193
hf, 73, 176
mz, 49, 145
rk, 63, 173
ov, 65, 158
vi, 59, 199
du, 42, 179
ll, 84, 140
zf, 43, 199
dv, 87, 198
xm, 75, 196
vg, 65, 161
jn, 47, 165
nx, 85, 174
jx, 90, 199
wm, 77, 172
fx, 56, 146
sj, 66, 156
ft, 89, 167
qt, 50, 185
yg, 41, 183
no, 57, 197
gs, 41, 182
rl, 77, 175
xd, 84, 166
tu, 61, 158
eg, 58, 176
tf, 99, 157
ub, 46, 192
so, 94, 182
vm, 44, 162
jt, 41, 192
or, 53, 177
wr, 86, 142
nd, 91, 187
fz, 41, 141
lc, 89, 179
xe, 56, 142
tm, 70, 166
hb, 55, 187
yb, 73, 158
jg, 68, 191
hc, 82, 165
hj, 87, 186
dh, 95, 143
li, 76, 180
yd, 73, 182
mz, 48, 146
al, 68, 145
np, 42, 183
ou, 65, 193
cn, 43, 172
po, 66, 171
qu, 89, 195
tl, 84, 160
ra, 73, 159
yd, 55, 180
zt, 54, 157
yv, 42, 176
ql, 97, 170
ly, 46, 146
ba, 94, 155
oi, 63, 193
bj, 88, 182
jy, 82, 154
yk, 41, 167
sq, 98, 145
cu, 85, 159
of, 79, 174
nm, 86, 180
tm, 66, 191
jb, 80, 157
ch, 87, 185
go, 63, 188
ed, 71, 172
hq, 79, 182
hz, 97, 152
yd, 54, 156
ph, 70, 184
wx, 88, 181
dg, 52, 181
sn, 49, 199
ar, 44, 153
qc, 80, 158
ak, 68, 167
ph, 54, 146
bz, 41, 148
qh, 41, 191
ja, 47, 189
ff, 80, 154
io, 87, 151
qk, 78, 179
xt, 58, 176
sd, 46, 189
yb, 67, 153
cq, 77, 195
sl, 97, 140
hi, 86, 151
bk, 57, 177
im, 61, 197
ri, 47, 185
kp, 92, 149
hi, 77, 184
ev, 57, 185
gm, 49, 164
zg, 53, 169
ud, 43, 141
iw, 56, 157
bv, 61, 173
rm, 50, 192
wx, 58, 183
ff, 84, 184
of, 48, 184
rn, 73, 189
ww, 56, 161
ah, 75, 153
tz, 85, 178
pn, 50, 157
de, 52, 168
zd, 84, 184
rs, 83, 199
ti, 81, 159
aa, 59, 176
uu, 97, 147
vg, 59, 152
gb, 53, 175
qx, 56, 156
ww, 76, 143
wh, 93, 156
sy, 68, 155
vd, 77, 190
bw, 59, 147
tt, 82, 192
vn, 96, 182
fn, 50, 175
yl, 81, 144
fn, 87, 151
en, 79, 173
cm, 54, 173
ce, 78, 164
cg, 98, 195
ap, 71, 198
tk, 54, 187
ip, 92, 145
rx, 69, 143
hv, 87, 163
gj, 64, 197
gk, 52, 172
wo, 57, 186
du, 50, 187
gs, 71, 156
mf, 93, 191
wb, 54, 164
uy, 40, 142
az, 73, 168
kl, 71, 178
ow, 72, 158
pj, 76, 155
fg, 81, 173
qp, 71, 159
em, 51, 149
hw, 83, 186
dm, 83, 198
fj, 52, 163
jp, 89, 161
rm, 77, 166
ua, 81, 164
ug, 69, 163
ov, 55, 174
tx, 68, 171
xw, 95, 195
nh, 63, 153
ou, 80, 165
vs, 68, 149
jy, 79, 171
gh, 46, 170
bv, 95, 164
sg, 58, 196
lc, 81, 186
ft, 47, 193
ev, 60, 141
lf, 50, 187
bn, 73, 164
jx, 55, 145
ev, 43, 182
kv, 55, 159
dv, 87, 161
fy, 72, 172
jv, 55, 144
iq, 50, 187
nq, 40, 166
xe, 76, 153
ei, 75, 187
ae, 90, 184
dv, 50, 143
